Order ID,Order Date,Ship Date,Ship Mode,Customer Name,Segment,Country,City,State,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
CA-2013-138688,13-06-2013,17-06-2013,Second Class,Darrin Van Huff,Corporate,United States,Los Angeles,California,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2,0,6.8714
CA-2011-115812,09-06-2011,14-06-2011,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0,14.1694
CA-2011-115812,09-06-2011,14-06-2011,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,Office Supplies,Art,Newell 322,7.28,4,0,1.9656
CA-2011-115812,09-06-2011,14-06-2011,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,Technology,Phones,Mitel 5320 IP Phone VoIP phone,907.152,6,0.2,90.7152
CA-2011-115812,09-06-2011,14-06-2011,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3,0.2,5.7825
CA-2011-115812,09-06-2011,14-06-2011,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0,34.47
CA-2011-115812,09-06-2011,14-06-2011,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,Furniture,Tables,Chromcraft Rectangular Conference Tables,1706.184,9,0.2,85.3092
CA-2011-115812,09-06-2011,14-06-2011,Standard Class,Brosina Hoffman,Consumer,United States,Los Angeles,California,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,4,0.2,68.3568
CA-2013-161389,06-12-2013,11-12-2013,Standard Class,Irene Maddox,Consumer,United States,Seattle,Washington,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3,0.2,132.5922
CA-2011-167164,13-05-2011,15-05-2011,Second Class,Alejandro Grove,Consumer,United States,West Jordan,Utah,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,2,0,9.99
CA-2011-143336,27-08-2011,01-09-2011,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,Office Supplies,Art,Newell 341,8.56,2,0,2.4824
CA-2011-143336,27-08-2011,01-09-2011,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,Technology,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.011
CA-2011-143336,27-08-2011,01-09-2011,Second Class,Zuschuss Donatelli,Consumer,United States,San Francisco,California,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4,0.2,7.384
CA-2012-106320,25-09-2012,30-09-2012,Standard Class,Emily Burns,Consumer,United States,Orem,Utah,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,3,0,240.2649
CA-2013-121755,16-01-2013,20-01-2013,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2,0.2,4.2224
CA-2013-121755,16-01-2013,20-01-2013,Second Class,Eric Hoffmann,Consumer,United States,Los Angeles,California,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3,0,11.7741
CA-2013-101343,18-07-2013,23-07-2013,Standard Class,Ruben Ausman,Corporate,United States,Los Angeles,California,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2,0,3.894
